timestep,agent_name,agent_type,world_mode,observation_depth,investor_wealth,investment,investment_multiplied,repayment,repayment_pct,investor_reward,agent_reward,investor_cumulative,agent_cumulative,rnn_hidden_state,observation_window
0,fair_1,fair,1,4,10003.0,15.0,45.0,18.0,0.4,3.0,27.0,3.0,27.0,"[-0.03436946123838425, -0.005743854679167271, 0.06363627314567566, -0.13080935180187225, 0.004311614669859409]","{""own"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""others"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
0,max_1,max,1,4,10004.75,5.0,15.0,6.75,0.45,1.75,8.25,4.75,8.25,"[-0.03436946123838425, -0.005743854679167271, 0.06363627314567566, -0.13080935180187225, 0.004311614669859409]","{""own"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""others"": [15.0, 18.0, 0.0, 0.0, 0.0, 0.0]}"
0,fair_2,fair,1,4,10038.75,20.0,60.0,54.0,0.9,34.0,6.0,38.75,6.0,"[-0.03436946123838425, -0.005743854679167271, 0.06363627314567566, -0.13080935180187225, 0.004311614669859409]","{""own"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""others"": [15.0, 18.0, 5.0, 6.75, 0.0, 0.0]}"
0,max_2,max,1,4,10063.75,20.0,60.0,45.0,0.75,25.0,15.0,63.75,15.0,"[-0.03436946123838425, -0.005743854679167271, 0.06363627314567566, -0.13080935180187225, 0.004311614669859409]","{""own"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""others"": [15.0, 18.0, 5.0, 6.75, 20.0, 54.0]}"
1,fair_1,fair,1,4,10080.75,10.0,30.0,27.0,0.9,17.0,3.0,80.75,30.0,,
1,max_1,max,1,4,10080.75,0.0,0.0,0.0,0.0,0.0,0.0,80.75,8.25,,
1,fair_2,fair,1,4,10080.75,0.0,0.0,0.0,0.4,0.0,0.0,80.75,6.0,,
1,max_2,max,1,4,10087.25,10.0,30.0,16.5,0.55,6.5,13.5,87.25,28.5,,
2,fair_1,fair,1,4,10127.25,20.0,60.0,60.0,1.0,40.0,0.0,127.25,30.0,,
2,max_1,max,1,4,10132.5,15.0,45.0,20.25,0.45,5.25,24.75,132.5,33.0,,
